assignee_organization,assignee_lastknown_state,assignee_lastknown_latitude,assignee_lastknown_longitude,assignee_total_num_patents,assignee_lastknown_city,count
"Unverferth Manufacturing Company, Inc.",OH,40.9828,-84.1994,88,Kalida,
"TracFone Wireless, Inc.",FL,25.7739,-80.1939,88,Miami,
"VLT, Inc.",MA,42.6583,-71.1375,88,Andover,
"Board of Regents of the Nevada System of Higher Education, on behalf of the University of Nevada, Reno",NV,39.5297,-119.813,88,Reno,
"Quoizel, Inc.",SC,32.9808,-80.0328,88,Goose Creek,
"Prysm, Inc.",CA,37.3394,-121.894,88,San Jose,
"Royal Group, Inc.",GA,33.7489,-84.3881,88,Atlanta,
Yale Security Inc.,NC,34.9853,-80.5497,88,Monroe,
Liqui-Box Corporation,VA,37.5536,-77.4606,88,Richmond,
"FEDEX CORPORATE SERVICES, INC.",TN,35.0419,-89.6644,88,Collierville,
"Tula Technology, Inc.",CA,37.3394,-121.894,88,San Jose,
Edgecraft Corporation,PA,39.8233,-75.7836,88,Avondale,
Dixie Consumer Products LLC,GA,33.7489,-84.3881,88,Atlanta,
"SuVolta, Inc.",CA,37.2267,-121.974,88,Los Gatos,
"iboss, Inc.",CA,32.7153,-117.156,87,San Diego,
Sunovion Pharmaceuticals Inc.,MA,42.3458,-71.5528,87,Marlborough,
"National Coupling Company, Inc.",TX,29.6158,-95.5575,87,Stafford,
Greenlee Textron Inc.,IL,42.2711,-89.0939,87,Rockford,
"Orbital ATK, Inc.",VA,38.9516,-77.4481,87,Dulles,
"Trion Industries, Inc.",PA,41.2458,-75.8817,87,Wilkes-Barre,
"Display Technologies, Inc.",NY,40.7706,-73.7181,87,Lake Success,
"D2S, Inc.",CA,37.3394,-121.894,87,San Jose,
"Ambrx, Inc.",CA,32.8472,-117.273,87,La Jolla,
"Blue Coat Systems, Inc.",CA,37.3689,-122.035,87,Sunnyvale,
Incyte Holdings Corporation,DE,39.7458,-75.5469,87,Wilmington,
"MakerBot Industries, LLC",NY,40.65,-73.95,87,Brooklyn,
Fujifilm Imaging Colorants Limited,DE,39.6619,-75.5667,87,New Castle,
Colder Products Company,MN,44.9537,-93.09,87,St. Paul,
"Accuride International, Inc.",CA,33.9472,-118.084,87,Santa Fe Springs,
Athenix Corp.,NC,35.8233,-78.8258,87,Morrisville,
"Allway Tools, Inc.",NY,40.7181,-73.3547,87,West Babylon,
Pelican Imaging Corporation,CA,37.3542,-121.954,86,Santa Clara,
"Cybex International, Inc.",MA,42.1417,-71.3972,86,Medway,
"TDW Delaware, Inc.",DE,39.7458,-75.5469,86,Wilmington,
"EKC Technology, Inc.",NY,42.1657,-74.9481,86,Staten Island,
Wah Hung Group Inc.,CA,34.0625,-118.122,86,Monterey Park,
Globalstar L.P.,LA,30.4753,-90.1008,86,Covington,
MacNeil IP LLC,IL,41.6986,-88.0683,86,Bolingbrook,
"Manitowoc Crane Companies, LLC",WI,44.0886,-87.6575,86,Manitowoc,
Innova Electronics Corporation,CA,33.6694,-117.822,86,Irvine,
The Trustees of Boston College,MA,42.3306,-71.1667,86,Chestnut Hill,
Pride Mobility Products Corporation,PA,41.3206,-75.8194,86,Exeter,
"Optis Cellular Technology, LLC",TX,33.0197,-96.6986,86,Plano,
"Superconductor Technologies, Inc.",TX,30.2669,-97.7428,86,Austin,
"Harris Technology, LLC",CA,33.0203,-117.202,86,Rancho Santa Fe,
Sion Power Corporation,AZ,32.2217,-110.926,86,Tucson,
"Pacific Handy Cutter, Inc.",CA,33.6694,-117.822,86,Irvine,
"The United States of America as represented by the Secretary of the Department of Health and Human Services, Centers for Disease Control and Prevention",DC,38.895,-77.0367,86,Washington,
"Rackspace US, Inc.",TX,29.4239,-98.4933,86,San Antonio,
"InVisage Technologies, Inc.",CA,37.5297,-122.039,86,Newark,
"PGI International, Ltd.",TX,29.7631,-95.3631,85,Houston,
"CONTEMPORARY VISIONS, LLC",NY,40.9278,-73.7522,85,Larchmont,
"Putco, Inc.",IA,41.6006,-93.6089,85,Des Moines,
Hillerich & Bradsby Co.,KY,38.2542,-85.7594,85,Louisville,
E. Khashoggi Industries,CA,34.4208,-119.697,85,Santa Barbara,
Celgard Inc.,NC,35.2269,-80.8433,85,Charlotte,
"Idenix Pharmaceuticals, Inc.",MA,42.375,-71.1061,85,Cambridge,
Applied Magnetics Corporation,FL,27.9656,-82.8003,85,Clearwater,
Computer Sciences Corporation,VA,38.9187,-77.2311,85,Tysons,
"Stanley Fastening Systems, L.P.",RI,41.55,-71.4667,85,North Kingstown,
"Charles Schwab & Co., Inc.",CA,37.775,-122.418,85,San Francisco,
Congoleum Corporation,NJ,40.2369,-74.6869,85,Mercerville,
American Dental Association Health Foundation,IL,41.85,-87.65,85,Chicago,
Voxer IP LLC,CA,37.775,-122.418,85,San Francisco,
"Scios, Inc.",CA,37.3861,-122.083,85,Mountain View,
Kitty Hawk Corporation,CA,37.3861,-122.083,85,Mountain View,
"Rehco, LLC",IL,41.85,-87.65,85,Chicago,
"Lippert Components, Inc.",IN,41.6819,-85.9767,85,Elkhart,
Sears Manufacturing Company,IA,41.5236,-90.5775,85,Davenport,
"Orbit Irrigation Products, Inc.",UT,40.8486,-111.906,85,North Salt Lake,
Wilson Tool International Inc.,MN,45.0847,-93.0097,85,White Bear Lake,
Hartwell Corporation,CA,33.8722,-117.869,85,Placentia,
"P Tech, LLC",IL,39.12,-88.5433,85,Effingham,
"Drum Workshop, Inc.",CA,34.1975,-119.176,85,Oxnard,
"Leidos, Inc.",VA,38.9686,-77.3414,85,Reston,
"Heliae Development, LLC",AZ,33.3528,-111.788,85,Gilbert,
"PUR Water Purification Products, Inc.",OH,39.1619,-84.4569,85,Cincinnati,
"Veris Industries, LLC",OR,45.3842,-122.763,85,Tualatin,
,CA,37.3861,-122.083,85,Mountain View,
"Abiomed, Inc.",MA,42.575,-70.9306,84,Danvers,
Children's Hospital & Research Center at Oakland,CA,37.8044,-122.27,84,Oakland,
Starbucks Corporation,WA,47.6064,-122.331,84,Seattle,
Bendix Spicer Foundation Brake LLC,OH,41.3683,-82.1078,84,Elyria,
"CSP Technologies, Inc.",AL,32.6097,-85.4808,84,Auburn,
"Sage Products, Inc.",IL,42.2119,-88.2381,84,Cary,
"iControl Networks, Inc.",PA,39.9522,-75.1642,84,Philadelphia,
"Integrated Silicon Solution, Inc.",CA,37.4283,-121.906,84,Milpitas,
Wright State University,OH,39.7589,-84.1917,84,Dayton,
The Wooster Brush Company,OH,40.805,-81.9353,84,Wooster,
Won-Door Corporation,UT,40.7608,-111.89,84,Salt Lake City,
OptiScan Biomedical Corporation,CA,37.6689,-122.08,84,Hayward,
"Hubbardton Forge, LLC",VT,43.6106,-73.1803,84,Castleton,
ORTHOSENSOR INC.,FL,26.0519,-80.1442,84,Dania Beach,
Angus Chemical Company,IL,42.1514,-87.9597,84,Buffalo Grove,
"DP Technologies, Inc.",CA,37.0511,-122.014,84,Scotts Valley,
"Lytx, Inc.",CA,32.7153,-117.156,84,San Diego,
"JLG Industries, Inc.",MD,39.6417,-77.7203,84,Hagerstown,
Opex Corporation,NJ,39.9669,-74.9431,84,Moorestown,
"Edgewell Personal Care Brands, LLC.",MO,38.6631,-90.5769,84,Chesterfield,
"Safariland, LLC",FL,30.3319,-81.6558,84,Jacksonville,
"American Airlines, Inc.",TX,32.7253,-97.3206,84,Fort Worth,
"Focal Point, L.L.C.",IL,41.85,-87.65,83,Chicago,
"Enzo Life Sciences, Inc.",NY,40.7325,-73.4458,83,Farmingdale,
"Xicato, Inc.",CA,37.3394,-121.894,83,San Jose,
"Savant Systems, LLC",MA,41.6528,-70.2833,83,Hyannis,
"Tyfone, Inc.",OR,45.5236,-122.675,83,Portland,
"Netlist, Inc.",CA,33.6694,-117.822,83,Irvine,
"HandyLab, Inc.",NJ,41.0167,-74.2061,83,Franklin Lakes,
Quarkstar LLC,NV,36.175,-115.136,83,Las Vegas,
"Correlated Magnetics Research, LLC",AL,34.7303,-86.5861,83,Huntsville,
"Phoseon Technology, Inc.",OR,45.5231,-122.989,83,Hillsboro,
Preformed Line Products Company,NY,42.1657,-74.9481,83,Staten Island,
Polytechnic Institute of New York University,NY,40.65,-73.95,83,Brooklyn,
"Pratt & Whitney Rocketdyne, Inc.",CA,34.2011,-118.597,83,Canoga Park,
"Comcast IP Holdings I, LLC",PA,39.9522,-75.1642,83,Philadelphia,
"Sensors Unlimited, Inc.",NJ,40.3486,-74.6594,83,Princeton,
Emulex Corporation,CA,33.6411,-117.918,83,Costa Mesa,
"Amendia, Inc.",GA,33.9525,-84.55,83,Marietta,
"INTOUCH TECHNOLOGIES, INC.",CA,34.4358,-119.827,83,Goleta,
"CVDevices, LLC",CA,32.7153,-117.156,83,San Diego,
Sirius XM Radio Inc.,NY,40.7142,-74.0064,83,New York,
Plexxikon Inc.,CA,37.8717,-122.272,83,Berkeley,
Alltrade Tools LLC,CA,33.8169,-118.036,83,Cypress,
AOS Holding Company,DE,39.7458,-75.5469,83,Wilmington,
Calphalon Corporation,GA,33.7489,-84.3881,83,Atlanta,
"Keyssa, Inc.",CA,37.2872,-121.949,83,Campbell,
"UTC Fire & Security Americas Corporation, Inc.",FL,27.4986,-82.575,83,Bradenton,
Progress Rail Services Corporation,AL,34.2675,-86.2089,83,Albertville,
"Roku, Inc.",CA,37.2267,-121.974,83,Los Gatos,
"Metro Industries, Inc.",NV,39.5297,-119.813,83,Reno,
Xoma Technology Ltd.,CA,37.8314,-122.284,82,Emeryville,
"Gala Industries, Inc.",VA,37.6406,-79.8014,82,Eagle Rock,
Mead Johnson Nutrition Company,IN,37.9747,-87.5558,82,Evansville,
"Xtera Communications, Inc.",TX,33.1031,-96.6703,82,Allen,
"Luminus Devices, Inc.",MA,42.4792,-71.1528,82,Woburn,
Guzik Technical Enterprises,CA,37.3861,-122.083,82,Mountain View,
GOGO LLC,IL,41.85,-87.65,82,Chicago,
"Lifetime Brands, Inc.",NY,40.7267,-73.6347,82,Garden City,
GOLBA LLC,CA,33.7444,-118.386,82,Rancho Palos Verdes,
"USGI Medical, Inc.",CA,33.4269,-117.611,82,San Clemente,
Delta T Corporation,KY,37.9886,-84.4778,82,Lexington,
"Chapin Manufacturing, Inc.",NY,42.9981,-78.1878,82,Batavia,
"Apex Brands, Inc.",NC,35.7325,-78.8506,82,Apex,
Hall Labs LLC,UT,40.2339,-111.658,82,Provo,
"Sonus Networks, Inc.",MA,42.5792,-71.4383,82,Westford,
"EBSCO Industries, Inc.",AL,33.5206,-86.8025,82,Birmingham,
"SkyBell Technologies, Inc.",CA,33.6694,-117.822,82,Irvine,
"Garmin International, Inc.",KS,38.8814,-94.8189,82,Olathe,
"The Burchell Nursery, Inc.",CA,37.7667,-120.846,82,Oakdale,
Tyco Electronics Subsea Communications LLC,NJ,40.2961,-74.0514,82,Eatontown,
"Embol-X, Inc.",CA,37.3689,-122.035,82,Sunnyvale,
"Authentec, Inc.",FL,28.0833,-80.6083,82,Melbourne,
"Asante Solutions, Inc.",CA,37.4283,-121.906,82,Milpitas,
Spire Corporation,MA,42.4906,-71.2767,82,Bedford,
"West Pharmaceutical Services, Inc.",PA,40.0289,-75.6211,82,Exton,
TC1 LLC,MN,44.9537,-93.09,82,St. Paul,
Kenney Manufacturing Company,RI,41.7,-71.4167,81,Warwick,
"Samumed, LLC",CA,32.7153,-117.156,81,San Diego,
"Curwood, Inc.",WI,44.0247,-88.5425,81,Oshkosh,
DISH Network L.L.C.,CO,39.6478,-104.987,81,Englewood,
"Kateeva, Inc.",CA,37.5297,-122.039,81,Newark,
Massachusetts General Hospital,MA,42.3583,-71.0603,81,Boston,
"Kingston Digital, Inc.",CA,33.7092,-117.953,81,Fountain Valley,
"Kason Industries, Inc.",GA,33.3806,-84.7997,81,Newnan,
Verizon Data Services LLC,FL,28.035,-82.3894,81,Temple Terrace,
"O2COOL, LLC",IL,41.85,-87.65,81,Chicago,
Alfa Wassermann S.p.A.,NJ,40.8408,-74.3022,81,West Caldwell,
TEL Epion Inc.,MA,42.5583,-71.2694,81,Billerica,
"MacroGenics, Inc.",MD,39.0839,-77.1531,81,Rockville,
"General Dynamics C4 Systems, Inc.",AZ,33.5092,-111.898,81,Scottsdale,
Carnegie Institution of Washington,DC,38.895,-77.0367,81,Washington,
"Orion Energy Systems, Inc.",WI,44.0886,-87.6575,81,Manitowoc,
"Arch Chemicals, Inc.",NJ,41.0414,-74.1294,81,Allendale,
"WorkTools, Inc.",CA,34.2572,-118.6,81,Chatsworth,
"Riddell, Inc.",IL,42.0333,-87.8833,81,Des Plaines,
"Everlight USA, Inc.",NC,35.0831,-80.8925,81,Pineville,
"SAF-HOLLAND, Inc.",MI,42.7875,-86.1089,81,Holland,
"Acorda Therapeutics, Inc.",NY,41.0106,-73.8442,81,Ardsley,
"L-3 Communications Security and Detection Systems, Inc.",MA,42.4792,-71.1528,80,Woburn,
Performance Designed Products LLC,CA,34.1808,-118.308,80,Burbank,
"GenVec, Inc.",MD,39.1433,-77.2017,80,Gaithersburg,
R. A. Jones & Co. Inc.,KY,39.0836,-84.5086,80,Covington,
"MEI, Inc.",OR,44.6367,-123.105,80,Albany,
"Spyderco, Inc.",CO,39.7556,-105.221,80,Golden,
Pictometry International Corp.,NY,43.1547,-77.6158,80,Rochester,
Hormel Foods Corporation,MN,43.6667,-92.9744,80,Austin,
"Skorpios Technologies, Inc.",NM,35.0844,-106.651,80,Albuquerque,
Card-Monroe Corp.,TN,35.0456,-85.3097,80,Chattanooga,
"Symbotic, LLC",MA,42.5464,-71.1742,80,Wilmington,
Fox Chase Cancer Center,PA,39.9522,-75.1642,80,Philadelphia,
"The Watt Stopper, Inc.",CA,33.1581,-117.35,80,Carlsbad,
University of Puerto Rico,PR,18.4683,-66.1061,80,San Juan,
Magnolia Broadband Inc.,NJ,40.8928,-73.9731,80,Englewood,
"Zscaler, Inc.",CA,37.3394,-121.894,80,San Jose,
Dickey-john Corporation,MN,44.9537,-93.09,80,St. Paul,
"Misonix, Incorporated",NY,40.7325,-73.4458,80,Farmingdale,
"Callwave Communications, LLC",MA,42.3317,-71.1217,80,Brookline,
"MBIT WIRELESS, INC.",CA,33.6694,-117.822,80,Irvine,
"Dana Heavy Vehicle Systems Group, LLC",OH,41.5628,-83.6539,80,Maumee,
"Elenion Technologies, LLC",NY,40.7142,-74.0064,80,New York,
"Pelican Products, Inc.",CA,33.8358,-118.34,80,Torrance,
"Lift-U, Division of Hogan Mfg., Inc.",CA,37.7975,-120.996,80,Escalon,
"Synventive Molding Solutions, Inc.",MA,42.5278,-70.9292,80,Peabody,
"Lexicon Pharmaceuticals, Inc.",TX,30.1578,-95.4892,79,The Woodlands,
Biotechnology Research and Development Corporation,IL,40.6936,-89.5889,79,Peoria,
CheckFree Corporation,GA,33.9411,-84.2136,79,Norcross,
Precision Dynamics Corporation,CA,34.4436,-118.609,79,Valencia,
"McGard, Inc.",NY,42.7675,-78.7442,79,Orchard Park,
"Electrocore, LLC",NJ,40.7061,-74.5497,79,Basking Ridge,
"Dura Operating, LLC",MI,42.6875,-83.2342,79,Auburn Hills,
"Cross Match Technologies, Inc.",FL,26.8231,-80.1389,79,Palm Beach Gardens,
United Therapeutics Corporation,MD,38.9906,-77.0264,79,Silver Spring,
The Wistar Institute,PA,39.9522,-75.1642,79,Philadelphia,
"comScore, Inc.",VA,38.9686,-77.3414,79,Reston,
VCE IP Holding Company LLC,TX,32.9481,-96.7294,79,Richardson,
"Proton Energy Systems, Inc.",CT,41.4569,-72.8236,79,Wallingford,
Tri Tool Inc.,CA,38.5892,-121.302,79,Rancho Cordova,
The United States of America as represented by the Administrator of the Environmental Protection Agency,DC,38.895,-77.0367,79,Washington,
"Coherent Logix, Incorporated",TX,30.2669,-97.7428,79,Austin,
TiVo Solutions Inc.,CA,37.3394,-121.894,79,San Jose,
Caterpillar Global Mining LLC,AZ,32.2217,-110.926,79,Tucson,
"PilePro, LLC",TX,30.2669,-97.7428,79,Austin,
"VAREL INTERNATIONAL IND., L.P.",TX,32.9536,-96.89,79,Carrollton,
"Noven Pharmaceuticals, Inc.",FL,25.7739,-80.1939,79,Miami,
"Daniel Measurement and Control, Inc.",TX,29.7631,-95.3631,79,Houston,
"Physical Sciences, Inc.",MA,42.6583,-71.1375,79,Andover,
"TVWorks, LLC",PA,39.9522,-75.1642,79,Philadelphia,
NanoGram Corporation,CA,37.4283,-121.906,79,Milpitas,
"Monster, LLC",NV,36.1147,-115.173,79,Las Vagas,
Rovi Technologies Corporation,CA,37.3394,-121.894,78,San Jose,
"Dorel Juvenile Group, Inc.",MA,42.0583,-71.25,78,Foxboro,
DreamWorks Animation LLC,CA,34.1389,-118.353,78,Universal City,
"ODL, Incorporated",MI,42.8125,-86.0186,78,Zeeland,
"Medco Health Solutions, Inc.",NJ,41.0167,-74.2061,78,Franklin Lakes,
"Photon Dynamics, Inc.",CA,37.3394,-121.894,78,San Jose,
TSI Incorporated,MN,45.0792,-93.1469,78,Shoreview,
"Audience, Inc.",CA,37.3861,-122.083,78,Mountain View,
"Tile, Inc.",CA,37.5631,-122.324,78,San Mateo,
Tower Manufacturing Corporation,RI,41.8239,-71.4133,78,Providence,
"Server Technology, Inc.",NV,39.5297,-119.813,78,Reno,
"Parion Sciences, Inc.",NC,35.9939,-78.8989,78,Durham,
"Pulse Electronics, Inc.",CA,33.0369,-117.291,78,Encinitas,
"Means Industries, Inc.",MI,43.4194,-83.9508,78,Saginaw,
"Earth Tool Company, L.L.C.",WI,43.0814,-88.9117,78,Lake Mills,
"nLIGHT, Inc.",WA,45.6389,-122.66,78,Vancouver,
"Narus, Inc.",CA,37.3689,-122.035,78,Sunnyvale,
University of North Texas,TX,33.2147,-97.1328,78,Denton,
CSL Behring GmbH,PA,40.0892,-75.3964,78,King of Prussia,
Orbital Research Inc.,OH,41.4994,-81.6956,78,Cleveland,
Florida Atlantic University,FL,26.3583,-80.0833,78,Boca Raton,
"PHD, Inc.",IN,41.1306,-85.1289,78,Fort Wayne,
Rosemount Analytical Inc.,TX,29.7631,-95.3631,78,Houston,
"FibroGen, Inc.",CA,37.775,-122.418,78,San Francisco,
"ConsumerInfo.com, Inc.",CA,33.6411,-117.918,78,Costa Mesa,
"MaxPower Semiconductor, Inc.",CA,37.3394,-121.894,78,San Jose,
"ViaCyte, Inc.",CA,32.7153,-117.156,78,San Diego,
Winegard Company,IA,40.8075,-91.1128,78,Burlington,
American National Red Cross,MD,39.0839,-77.1531,78,Rockville,
"Fusion-io, Inc.",DE,39.7458,-75.5469,78,Wilmington,
"Laser Technology, Inc.",CO,39.5792,-104.876,78,Centennial,
Allegheny-Singer Research Institute,PA,40.4406,-79.9961,78,Pittsburgh,
Hampton Products International Corporation,CA,33.6864,-117.66,77,Foothill Ranch,
Kavlico Corporation,CA,34.2856,-118.881,77,Moorpark,
"Automotive Components Holdings, LLC",MI,42.3222,-83.1764,77,Dearborn,
"Zevex, Inc.",UT,40.7608,-111.89,77,Salt Lake City,
Purdue Pharmaceuticals L.P.,NC,35.7211,-77.9158,77,Wilson,
University of Maine System Board of Trustees,ME,44.8831,-68.6725,77,Orono,
Durect Corporation,CA,37.3231,-122.031,77,Cupertino,
Danfoss Power Solutions ApS,IA,42.0347,-93.6197,77,Ames,
Wanda M. Weder and William F. Straeter,IL,38.7394,-89.6711,77,Highland,
"aTyr Pharma, Inc.",CA,32.7153,-117.156,77,San Diego,
"Enterasys Networks, Inc.",NH,42.7883,-71.2014,77,Salem,
"Anderson Power Products, Inc.",MA,42.4375,-71.7611,77,Sterling,
"Supertex, Inc.",CA,37.3689,-122.035,77,Sunnyvale,
Intermatic Incorporated,IL,42.4436,-88.2364,77,Spring Grove,
"Urschel Laboratories, Inc.",IN,41.6106,-87.0642,77,Chesterton,
"EMS Technologies, Inc.",GA,33.9411,-84.2136,77,Norcross,
"Club Car, Inc.",GA,33.5336,-82.1308,77,Evans,
"Adaptix, Inc.",TX,33.0197,-96.6986,77,Plano,
Federal Home Loan Mortgage Corporation,VA,38.9342,-77.1778,77,McLean,
Acumed LLC,OR,45.5231,-122.989,77,Hillsboro,
"Avogy, Inc.",CA,37.3394,-121.894,77,San Jose,
"Acorn Technologies, Inc.",CA,32.8472,-117.273,77,La Jolla,
Knape & Vogt Manufacturing Company,MI,42.9633,-85.6681,77,Grand Rapids,
Medtronic Ablation Frontiers LLC,MN,44.98,-93.2636,77,Minneapolis,
"Berlin Packaging, LLC",IL,41.85,-87.65,77,Chicago,
FKA Distributing Co.,MI,42.5751,-83.4882,77,Commerce Township,
"Key Technology, Inc.",WA,46.0647,-118.342,77,Walla Walla,
"DJO, LLC",CA,33.2,-117.242,77,Vista,
THYSSENKRUPP ELEVATOR AG,GA,34.0753,-84.2942,77,Alpharetta,
Lumination LLC,CA,38.9314,-121.081,77,North Hills,
"D.R. Systems, Inc.",CA,32.7153,-117.156,76,San Diego,
"MoSys, Inc.",CA,37.3394,-121.894,76,San Jose,
Nibco Inc.,IN,41.6819,-85.9767,76,Elkhart,
"Radiation Monitoring Devices, Inc.",MA,42.3708,-71.1833,76,Watertown,
"Crayola, LLC",PA,40.6883,-75.2211,76,Easton,
Amgen Fremont Inc.,CA,34.1706,-118.837,76,Thousand Oaks,
"Alacritech, Inc.",CA,37.3394,-121.894,76,San Jose,
ConvaTec Technologies Inc.,NV,36.175,-115.136,76,Las Vegas,
A. W. Chesterton Company,MA,42.7603,-71.0319,76,Groveland,
Strasbaugh,CA,35.2828,-120.659,76,San Luis Obispo,
"Cedar Ridge Research, LLC",AL,34.5369,-86.3944,76,New Hope,
"TAYLOR MADE GROUP, LLC",NY,43.0528,-74.3442,76,Gloversville,
Wright Line Inc.,MA,42.2625,-71.8028,76,Worcester,
Plant Development Services Inc.,AL,30.6181,-87.7531,76,Loxley,
"Aura Systems, Inc.",CA,33.8492,-118.387,76,Redondo Beach,
"INTRA-CELLULAR THERAPIES, INC.",NY,40.7142,-74.0064,76,New York,
The National Machinery Company,OH,41.1144,-83.1781,76,Tiffin,
"X-Rite, Inc.",MI,42.9633,-85.6681,76,Grand Rapids,
"Enpirion, Inc.",NJ,40.7069,-74.9564,76,Hampton,
ION Geophysical Corporation,TX,29.7631,-95.3631,76,Houston,
"Teledyne Instruments, Inc.",CA,34.1706,-118.837,76,Thousand Oaks,
"Novus International, Inc.",MO,41.9142,-88.3087,76,St. Charles,
"Idera Pharmaceuticals, Inc.",MA,42.375,-71.1061,75,Cambridge,
"Moldex-Metric, Inc.",CA,34.0211,-118.396,75,Culver City,
"ChipPAC, Inc.",CA,37.5483,-121.988,75,Fremont,
Rhode Island Hospital,RI,41.8239,-71.4133,75,Providence,
"LSP Technologies, Inc.",OH,40.0992,-83.1142,75,Dublin,
SANDISK ENTERPRISE IP LLC,TX,32.7833,-96.8,75,Dallas,
"Sig Sauer, Inc.",NH,43.1,-70.8342,75,Newington,
"Evriholder Products, LLC",CA,33.8353,-117.914,75,Anaheim,
"Quorum International, L.P.",TX,32.7253,-97.3206,75,Fort Worth,
The Pullman Company,OH,41.2975,-82.6056,75,Milan,
CLEARSIGN COMBUSTION CORPORATION,WA,47.6064,-122.331,75,Seattle,
"Alta Devices, Inc.",CA,37.3689,-122.035,75,Sunnyvale,
S & C Electric Company,IL,41.85,-87.65,75,Chicago,
Toshiba International Corporation,TX,29.7631,-95.3631,75,Houston,
Allen Engineering Corporation,AR,36.0583,-90.4972,75,Paragould,
Anorad Corporation,NY,40.8014,-72.8681,75,Shirley,
"Inno-Pak, LLC",OH,40.2986,-83.0681,75,Delaware,
"Roller Bearing Company of America, Inc.",CT,41.4339,-73.1172,75,Oxford,
"MSA Products, Inc.",NY,41.0906,-73.9183,75,Nyack,
"Spatial Digital Systems, Inc.",CA,34.1364,-118.774,75,Agoura Hills,
"Bear Archery, Inc.",IN,37.9747,-87.5558,75,Evansville,
Mount Sinai School of Medicine,NY,40.7142,-74.0064,75,New York,
"Sonnax Industries, Inc.",VT,43.1333,-72.4444,75,Bellows Falls,
"Tandem Diabetes Care, Inc.",CA,32.7153,-117.156,74,San Diego,
Smead Manufacturing Company,MN,44.7433,-92.8522,74,Hastings,
"Traffix Devices, Inc.",CA,33.4269,-117.611,74,San Clemente,
Sierra Design Group,NV,36.175,-115.136,74,Las Vegas,
DuPont Teijin Films U.S. Limited Partnership,VA,37.3567,-77.4419,74,Chester,
"Tandent Vision Science, Inc.",CA,37.775,-122.418,74,San Francisco,
"Gift Card Impressions, LLC",MO,39.0997,-94.5783,74,Kansas City,
"Apothecary Products, Inc.",MN,44.7678,-93.2775,74,Burnsville,
"Ariba, Inc.",CA,37.3689,-122.035,74,Sunnyvale,
"Navajo Manufacturing Company, Inc.",CO,39.7392,-104.984,74,Denver,
DigitalOptics Corporation MEMS,CA,37.3394,-121.894,74,San Jose,
"Multi-Tech Systems, Inc.",MN,45.105,-93.2083,74,Mounds View,
"Tenacious Holdings, Inc.",MN,44.9537,-93.09,74,St. Paul,
"Chapman/Leonard Studio Equipment, Inc.",CA,34.1722,-118.378,74,North Hollywood,
Charlotte-Mecklenburg Hospital Authority,NC,35.2269,-80.8433,74,Charlotte,
Terumo Cardiovascular Systems Corporation,MI,42.2708,-83.7264,74,Ann Arbor,
"Clairson, Inc.",DE,39.6836,-75.75,74,Newark,
TIBCO Software Inc.,CA,37.4419,-122.142,74,Palo Alto,
"Bristol Compressors, Inc.",VA,36.5964,-82.1886,74,Bristol,
Rovi Solutions Corporation,CA,37.3394,-121.894,74,San Jose,
Zircon Corporation,CA,37.2872,-121.949,74,Campbell,
Gigamon Inc.,CA,37.3542,-121.954,74,Santa Clara,
"Tempur-Pedic Management, LLC",KY,37.9886,-84.4778,74,Lexington,
University of Massachusetts Lowell,MA,42.3583,-71.0603,74,Boston,
"Von Duprin, Inc.",IN,39.9783,-86.1181,74,Carmel,
CyberOptics Corporation,MN,45.0097,-93.3489,74,Golden Valley,
Pella Corporation,IA,41.4081,-92.9161,74,Pella,
"Rainin Instrument Co., Inc.",CA,37.8044,-122.27,74,Oakland,
"ConAgra Foods RDM, Inc.",NE,41.2586,-95.9375,74,Omaha,
"YAHOO HOLDINGS, INC.",CA,37.3689,-122.035,74,Sunnyvale,
"Novatel Wireless, Inc.",CA,32.7153,-117.156,74,San Diego,
"CPG Technologies, LLC",TX,32.1839,-96.8844,74,Italy,
"DAQRI, LLC",CA,34.0522,-118.243,73,Los Angeles,
The University of Alabama,AL,33.2097,-87.5692,73,Tuscaloosa,
"ALLSCRIPTS SOFTWARE, LLC",IL,41.85,-87.65,73,Chicago,
Southern Methodist University,TX,32.7833,-96.8,73,Dallas,
"AirBorn, Inc.",TX,30.6325,-97.6769,73,Georgetown,
VOXX INTERNATIONAL CORPORATION,NY,40.8256,-73.2031,73,Hauppauge,
"MapQuest, Inc.",CO,39.7392,-104.984,73,Denver,
Signode Industrial Group LLC,IL,42.0697,-87.7878,73,Glenview,
Innovative Micro Technology,CA,34.4358,-119.827,73,Goleta,
"Shure Acquisition Holdings, Inc.",IL,42.0189,-87.8028,73,Niles,
"Vishay Dale Electronics, Inc.",NE,41.4297,-97.3681,73,Columbus,
"Redpine Signals, Inc.",CA,37.3394,-121.894,73,San Jose,
"Fluidmaster, Inc.",CA,33.5017,-117.662,73,San Juan Capistrano,
"Delta Systems, Inc.",OH,41.2392,-81.3461,73,Streetsboro,
"USA Technologies, Inc.",PA,40.0361,-75.5142,73,Malvern,
Coty B.V.,NY,40.7142,-74.0064,73,New York,
"Workday, Inc.",CA,37.6625,-121.874,73,Pleasanton,
Ross Operating Valve Company,MI,42.6056,-83.15,73,Troy,
"Rosco, Inc.",NY,40.6914,-73.8061,73,Jamaica,
University of New Hampshire,NH,43.1339,-70.9269,73,Durham,
